date,tpm,bcp_2y,bcp_5y,bcu_10y,bcu_5y,bcp_10y,dtpm,dtpm_up,dtpm_down,dtpm_pos,dtpm_neg,dbcp_2y,dbcp_5y,dbcp_10y,dbcu_5y,dbcu_10y,product,rate,drate,spread_tpm
2014-05-01,4,3.978339455182329,4.732089135307163,1.8950856682583728,1.6143898928504727,4.95964416395853,0,0,-0,0,0,0.06127254320189923,0.010747461560334237,0.04528420305868508,-0.06477038703708193,0.00998139714984081,cap_90_1y,0.3372876530602184,0.010498280337371046,-3.6627123469397818
2014-06-01,4,3.887836142794862,4.553301324845761,1.829605578303991,1.6738449180879211,4.856438981945807,0,0,-0,0,0,-0.090503312387467,-0.1787878104614018,-0.1032051820127231,0.05945502523744839,-0.0654800899543817,cap_90_1y,0.35081868426506163,0.013531031204843225,-3.649181315734938
2014-07-01,3.75,3.636562825314902,4.285123758762032,1.7657241157289363,1.57052251476954,4.66245634056689,-0.25,0,0.25,0,-0.25,-0.25127331747995996,-0.2681775660837289,-0.1939826413789172,-0.10332240331838105,-0.06388146257505478,cap_90_1y,0.33283262055960094,-0.017986063705460686,-3.417167379440399
2014-08-01,3.5,3.2848970544927787,3.9900986658747972,1.404274131217415,1.2598088831062975,4.342398030984121,-0.25,0,0.25,0,-0.25,-0.35166577082212314,-0.2950250928872351,-0.3200583095827687,-0.3107136316632426,-0.3614499845115213,cap_90_1y,0.30131405630420416,-0.031518564255396786,-3.198685943695796
2014-09-01,3.25,3.071916705526773,4.275126907937945,1.5450818234339565,1.250391728363177,4.590266550275149,-0.25,0,0.25,0,-0.25,-0.21298034896600582,0.28502824206314736,0.2478685192910275,-0.009417154743120548,0.14080769221654155,cap_90_1y,0.2789892366668242,-0.022324819637379978,-2.971010763333176
2014-10-01,3,3.3441912828274694,4.195053353216598,1.5928151205806669,1.32219530353805,4.633357254267037,-0.25,0,0.25,0,-0.25,0.2722745773006965,-0.0800735547213467,0.04309070399188819,0.07180357517487312,0.047733297146710374,cap_90_1y,0.28540915200905953,0.006419915342235349,-2.7145908479909404
2014-11-01,3,3.2058202342059037,4.045588954259642,1.54054270370788,1.3649569962658246,4.441608726526023,0,0,-0,0,0,-0.13837104862156568,-0.1494643989569555,-0.19174852774101403,0.042761692727774525,-0.05227241687278683,cap_90_1y,0.29742004759456775,0.012010895585508219,-2.7025799524054324
2014-12-01,3,3.0390779099596936,3.9132840232240595,1.503010681989942,1.3696566825340835,4.363199321804625,0,0,-0,0,0,-0.16674232424621005,-0.13230493103558283,-0.07840940472139746,0.004699686268258896,-0.03753202171793801,cap_90_1y,0.3046040815818797,0.007184033987311933,-2.69539591841812
2015-01-01,3,3.0126354608318158,3.774846657895989,1.3967122241802876,1.2872049220008261,4.184115343468209,0,0,-0,0,0,-0.026442449127877854,-0.1384373653280706,-0.17908397833641665,-0.08245176053325731,-0.10629845780965441,cap_90_1y,0.27436569278570716,-0.030238388796172522,-2.725634307214293
2015-02-01,3,3.2621514777132377,3.88255508807749,1.2350380641048468,1.02754483667198,4.203211930174903,0,0,-0,0,0,0.2495160168814219,0.10770843018150122,0.01909658670669412,-0.2596600853288462,-0.16167416007544078,cap_90_1y,0.27146908782021134,-0.0028966049654958193,-2.7285309121797887
2015-03-01,3,3.5604020819882343,4.082878490374244,1.233524888127667,0.9090868072041345,4.342276391876893,0,0,-0,0,0,0.2982506042749966,0.20032340229675416,0.13906446170198983,-0.11845802946784545,-0.0015131759771798148,cap_90_1y,0.2886985626601847,0.017229474839973336,-2.711301437339815
2015-04-01,3,3.6469462442177494,4.21833001829691,1.3585668345785806,1.0617181261147195,4.492530743038523,0,0,-0,0,0,0.08654416222951511,0.13545152792266535,0.15025435116162988,0.152631318910585,0.1250419464509136,cap_90_1y,0.303617320896769,0.01491875823658434,-2.696382679103231
2015-05-01,3,3.6574999999999998,4.238487891745449,1.5366133275840137,1.194714883605871,4.55616489546157,0,0,-0,0,0,0.010553755782250374,0.020157873448539476,0.06363415242304704,0.13299675749115147,0.17804649300543307,cap_90_1y,0.31066344801830226,0.007046127121533241,-2.6893365519816976
