horizon,beta_signed,beta,type,reported_scale,cumulative,product,spec
6,-0.13895669397175395,-0.13895669397175395,alza_tpm,signed,0.8942765146004564,comercial_total,macro
0,-0.5907494132034568,0.5907494132034568,baja_tpm,magnitude_expected_direction,0.5907494132034568,comercial_total,macro
1,-0.2810730665788239,0.2810730665788239,baja_tpm,magnitude_expected_direction,0.8718224797822807,comercial_total,macro
2,-0.3040669887216173,0.3040669887216173,baja_tpm,magnitude_expected_direction,1.175889468503898,comercial_total,macro
3,0.19168292579530424,-0.19168292579530424,baja_tpm,magnitude_expected_direction,0.9842065427085938,comercial_total,macro
4,0.004600385106644784,-0.004600385106644784,baja_tpm,magnitude_expected_direction,0.9796061576019489,comercial_total,macro
5,-0.16071081310875854,0.16071081310875854,baja_tpm,magnitude_expected_direction,1.1403169707107075,comercial_total,macro
6,-0.1204314590900548,0.1204314590900548,baja_tpm,magnitude_expected_direction,1.2607484298007623,comercial_total,macro
0,0.4946455989905654,0.4946455989905654,alza_tpm,signed,0.4946455989905654,consumo_cuotas,macro
1,0.5980999927154217,0.5980999927154217,alza_tpm,signed,1.0927455917059872,consumo_cuotas,macro
2,0.26818301347861784,0.26818301347861784,alza_tpm,signed,1.360928605184605,consumo_cuotas,macro
3,-0.11483617910901533,-0.11483617910901533,alza_tpm,signed,1.2460924260755897,consumo_cuotas,macro
4,-0.40405336297076583,-0.40405336297076583,alza_tpm,signed,0.8420390631048238,consumo_cuotas,macro
5,-0.4225163583670223,-0.4225163583670223,alza_tpm,signed,0.4195227047378015,consumo_cuotas,macro
6,-0.0166233177490153,-0.0166233177490153,alza_tpm,signed,0.4028993869887862,consumo_cuotas,macro
0,-0.3352845355041362,0.3352845355041362,baja_tpm,magnitude_expected_direction,0.3352845355041362,consumo_cuotas,macro
1,-0.8807361240627312,0.8807361240627312,baja_tpm,magnitude_expected_direction,1.2160206595668674,consumo_cuotas,macro
2,0.6152440774336156,-0.6152440774336156,baja_tpm,magnitude_expected_direction,0.6007765821332518,consumo_cuotas,macro
3,0.6335066368798781,-0.6335066368798781,baja_tpm,magnitude_expected_direction,-0.032730054746626325,consumo_cuotas,macro
4,-0.10812855784677669,0.10812855784677669,baja_tpm,magnitude_expected_direction,0.07539850310015037,consumo_cuotas,macro
5,-0.29521672006999505,0.29521672006999505,baja_tpm,magnitude_expected_direction,0.3706152231701454,consumo_cuotas,macro
6,-0.14203173139265907,0.14203173139265907,baja_tpm,magnitude_expected_direction,0.5126469545628045,consumo_cuotas,macro
